condition,target_eps,seed,macro_f1,weighted_f1,achieved_eps,time_s
no-DP,inf,0,0.6072,0.7351,inf,2.4
no-DP,inf,1,0.6235,0.7477,inf,2.0
no-DP,inf,2,0.6125,0.7432,inf,2.0
no-DP,inf,3,0.6203,0.7467,inf,2.0
no-DP,inf,4,0.6218,0.7424,inf,2.0
eps=0.1,0.1,0,0.2082,0.3552,0.096,2.2
eps=0.1,0.1,1,0.3813,0.5768,0.096,2.2
eps=0.1,0.1,2,0.281,0.4428,0.096,2.2
eps=0.1,0.1,3,0.2537,0.4477,0.096,2.4
eps=0.1,0.1,4,0.2188,0.3999,0.096,2.3
eps=0.5,0.5,0,0.2944,0.4987,0.508,2.2
eps=0.5,0.5,1,0.2632,0.4534,0.508,2.2
eps=0.5,0.5,2,0.273,0.4862,0.508,2.2
eps=0.5,0.5,3,0.2134,0.4121,0.508,2.3
eps=0.5,0.5,4,0.3021,0.5117,0.508,2.3
eps=1.0,1.0,0,0.5037,0.6652,1.025,2.3
eps=1.0,1.0,1,0.4563,0.6153,1.025,2.3
eps=1.0,1.0,2,0.491,0.6487,1.025,2.2
eps=1.0,1.0,3,0.478,0.6277,1.025,2.2
eps=1.0,1.0,4,0.4634,0.6181,1.025,2.2
eps=5.0,5.0,0,0.5987,0.7349,5.139,3.0
eps=5.0,5.0,1,0.5915,0.7207,5.139,3.0
eps=5.0,5.0,2,0.5859,0.719,5.139,3.1
eps=5.0,5.0,3,0.5904,0.7248,5.139,3.0
eps=5.0,5.0,4,0.5833,0.7265,5.139,3.0
